text,subject,sender,label
Your monthly AWS cloud infrastructure billing invoice for May is now available in the AWS Management Console. Amount due: $624.20.,Amazon Web Services Billing Statement,no-reply@amazon.com,0
URGENT: Your Microsoft 365 password expires in 42 hours. Keep your current password by verifying your credentials at http://micros0ft-office365-verify.com/login,Security Alert: Password Expiring,admin@micros0ft-office365-verify.com,1
"Hi Team, please welcome our new Senior Developer, Daniel Davis, who joins us today!",Welcome New Team Member,hr@company.com,0
"Hey team, just a reminder that our weekly Cybersecurity standup is scheduled for today at 6 PM on Zoom: https://zoom.us/j/9521818668.",Weekly Cybersecurity Standup,manager.cybersecurity@company.com,0
IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $829.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com,IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
"FINAL NOTICE: Your Amazon subscription payment of $2,786.00 was declined. Update your credit card details immediately at http://amaz0n-billing-update.com to avoid service interruption.",Payment Failure - Action Required,support@amaz0n-billing-update.com,1
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
"Notification of Unclaimed Inheritance: You have been listed as a beneficiary for an unclaimed estate of $1,370.00. Contact agent at http://unclaimed-estate-claim.com",Beneficiary Notification,attorney@unclaimed-estate-claim.com,1
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $4,046.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
Your GitHub security advisory alert: A high severity vulnerability was found in repository dependency lodash. View details at https://github.com/security.,Security Advisory Alert,notifications@github.com,0
Congratulations! Your email address was selected as the winner of the 2026 International Apple iPhone Giveaway. Claim your prize now at http://apple-winner-claim2026.com,You Won an iPhone 15 Pro!,prize@apple-winner-claim2026.com,1
"Urgent invoice payment overdue! Invoice #INV-46 for $2,662.00 is overdue by 14 days. Pay online now at http://quickbooks-online-pay.com to avoid legal penalties.",Overdue Invoice #INV-46,billing@quickbooks-online-pay.com,1
ATTENTION: Your Chase Online Banking access has been locked due to suspicious activity. Verify your debit card number and PIN immediately at http://chase-bank-verify.com/auth,Important Security Notice,security@chase-bank-verify.com,1
"Warning: Unusual sign-in activity detected on your Google Account from Beijing, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
"Warning: Unusual sign-in activity detected on your Google Account from Shenzhen, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
Congratulations! Your email address was selected as the winner of the 2026 International Apple iPhone Giveaway. Claim your prize now at http://apple-winner-claim2026.com,You Won an iPhone 15 Pro!,prize@apple-winner-claim2026.com,1
Please join us for a lunch & learn presentation on CI/CD Pipeline Security this Thursday at 12 PM in Conference Room B.,Lunch & Learn: React Server Components,events@company.com,0
Your weekly digest from LinkedIn: Sophia and 262 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
"Hi Team, please welcome our new Senior Developer, Olivia Rodriguez, who joins us today!",Welcome New Team Member,hr@company.com,0
ALERT: Unauthorized device logged into your Bank of America account. Lock your account immediately at http://bankofamer1ca-security.com,Bank of America Alert,alert@bankofamer1ca-security.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
"Notification of Unclaimed Inheritance: You have been listed as a beneficiary for an unclaimed estate of $2,406.00. Contact agent at http://unclaimed-estate-claim.com",Beneficiary Notification,attorney@unclaimed-estate-claim.com,1
Your Apple ID has been suspended due to billing information mismatch. Click here to reactivate your account: http://appleid-apple-verify.com,Apple ID Suspended,support@appleid-apple-verify.com,1
"Warning: Unusual sign-in activity detected on your Google Account from Shenzhen, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
"Hi All, the quarterly town hall meeting recording and presentation slides have been uploaded to SharePoint.",Town Hall Recording & Slides,internal-comms@company.com,0
Your Uber ride receipt for Friday evening is ready. Total: $348.56. View trip details at https://www.uber.com/trips.,Your Friday Evening Trip with Uber,receipts@uber.com,0
"Hi Emma, attached is the updated project roadmap for Q1. Please review before our sync meeting tomorrow at 7 PM.",Q1 Project Roadmap Review,emma.williams@company.com,0
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $3,333.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"Hi Team, please welcome our new Senior Developer, Emma Brown, who joins us today!",Welcome New Team Member,hr@company.com,0
Your Spotify Premium receipt for this month ($784.75) has been processed. Thank you for listening!,Your Spotify Receipt,no-reply@spotify.com,0
"Hi Sophia, thanks for submitting the pull request for feature #896. I left a few minor comments on GitHub: https://github.com/company/repo/pull/896.",Pull Request Review #896,dev-lead@company.com,0
"IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $3,470.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com",IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $520.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com,IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
Your weekly digest from LinkedIn: Michael and 607 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
Please join us for a lunch & learn presentation on React Server Components this Thursday at 12 PM in Conference Room B.,Lunch & Learn: Docker & Kubernetes,events@company.com,0
Your Jira ticket PRO-721 'Update authentication flow' has been marked as Resolved by QA.,Jira Ticket Resolved: PRO-721,jira@company.com,0
"Hi Alex, thanks for submitting the pull request for feature #99. I left a few minor comments on GitHub: https://github.com/company/repo/pull/99.",Pull Request Review #99,dev-lead@company.com,0
"Warning: Unusual sign-in activity detected on your Google Account from St. Petersburg, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
"Dear customer, your Google account has been temporarily restricted due to unauthorized login attempts from IP 115.224.204.51. Please verify your identity immediately at http://g00gle-security-check.com/login to prevent permanent account termination.",Action Required: Account Suspended,security@g00gle-security-check.com,1
Your Slack verification code is 711-648. Enter this code on the Slack login page to sign in.,Slack Verification Code,no-reply@slack.com,0
"Hello Jessica, I need you to purchase 40 Apple Gift Cards ($2,992.00 each) for our client appreciation event today. Send the claim codes directly to this email.",Urgent Task for Client Event,executive-board-office@mail-secure-corp.com,1
"IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $2,185.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com",IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
ATTENTION: Your Chase Online Banking access has been locked due to suspicious activity. Verify your debit card number and PIN immediately at http://chase-bank-verify.com/auth,Important Security Notice,security@chase-bank-verify.com,1
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
"Warning: Unusual sign-in activity detected on your Google Account from Lagos, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
Your monthly AWS cloud infrastructure billing invoice for December is now available in the AWS Management Console. Amount due: $787.71.,Amazon Web Services Billing Statement,no-reply@amazon.com,0
"Hi Alex, your expense report for $442.77 has been approved by management and submitted to payroll.",Expense Report Approved: $442.77,finance@company.com,0
"Hi team, please remember to submit your weekly timesheets before 5 PM today.",Timesheet Reminder,payroll@company.com,0
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
Your Uber ride receipt for Tuesday evening is ready. Total: $575.11. View trip details at https://www.uber.com/trips.,Your Tuesday Evening Trip with Uber,receipts@uber.com,0
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
"Hi Sophia, attached is the updated project roadmap for Q1. Please review before our sync meeting tomorrow at 4 PM.",Q1 Project Roadmap Review,sophia.rodriguez@company.com,0
Your weekly digest from LinkedIn: Robert and 856 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
Your Slack verification code is 504-713. Enter this code on the Slack login page to sign in.,Slack Verification Code,no-reply@slack.com,0
Your weekly digest from LinkedIn: Emma and 563 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
"Hey team, just a reminder that our weekly Engineering standup is scheduled for today at 10 PM on Zoom: https://zoom.us/j/4942944164.",Weekly Engineering Standup,manager.engineering@company.com,0
"Hi team, please remember to submit your weekly timesheets before 5 PM today.",Timesheet Reminder,payroll@company.com,0
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
Your monthly AWS cloud infrastructure billing invoice for October is now available in the AWS Management Console. Amount due: $725.40.,Amazon Web Services Billing Statement,no-reply@amazon.com,0
"Dear customer, your Netflix account has been temporarily restricted due to unauthorized login attempts from IP 80.219.62.154. Please verify your identity immediately at http://netfl1x-security-check.com/login to prevent permanent account termination.",Action Required: Account Suspended,security@netfl1x-security-check.com,1
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
Your Apple ID has been suspended due to billing information mismatch. Click here to reactivate your account: http://appleid-apple-verify.com,Apple ID Suspended,support@appleid-apple-verify.com,1
Your order #542-63602-57 has shipped via FedEx. Track your package status online at https://www.fedex.com/tracking?id=542-63602-57.,Your Order Has Shipped,shipping@amazon.com,0
Please join us for a lunch & learn presentation on React Server Components this Thursday at 12 PM in Conference Room B.,Lunch & Learn: GraphQL APIs,events@company.com,0
Your monthly AWS cloud infrastructure billing invoice for January is now available in the AWS Management Console. Amount due: $727.27.,Amazon Web Services Billing Statement,no-reply@amazon.com,0
"Warning: Unusual sign-in activity detected on your Google Account from St. Petersburg, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
Your Slack verification code is 223-875. Enter this code on the Slack login page to sign in.,Slack Verification Code,no-reply@slack.com,0
"Hi Sarah, attached is the updated project roadmap for Q2. Please review before our sync meeting tomorrow at 12 PM.",Q2 Project Roadmap Review,sarah.johnson@company.com,0
Your Jira ticket FIN-480 'Update authentication flow' has been marked as Resolved by QA.,Jira Ticket Resolved: FIN-480,jira@company.com,0
Thank you for your payment of $242.10 for your Microsoft 365 Subscription. Invoice #463-93055-47.,Microsoft 365 Payment Confirmation,no-reply@microsoft.com,0
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
Your weekly digest from LinkedIn: Daniel and 18 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
"IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $3,207.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com",IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
"Hey team, just a reminder that our weekly DevOps standup is scheduled for today at 8 PM on Zoom: https://zoom.us/j/2221123248.",Weekly DevOps Standup,manager.devops@company.com,0
Your Uber ride receipt for Monday evening is ready. Total: $798.42. View trip details at https://www.uber.com/trips.,Your Monday Evening Trip with Uber,receipts@uber.com,0
"Warning: Unusual sign-in activity detected on your Google Account from Lagos, Russia. If this wasn't you, secure your account now at http://g00gle-accounts-security.com",Critical Security Alert,no-reply@g00gle-accounts-security.com,1
"Hi All, the quarterly town hall meeting recording and presentation slides have been uploaded to SharePoint.",Town Hall Recording & Slides,internal-comms@company.com,0
Notification of Unclaimed Inheritance: You have been listed as a beneficiary for an unclaimed estate of $902.00. Contact agent at http://unclaimed-estate-claim.com,Beneficiary Notification,attorney@unclaimed-estate-claim.com,1
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
"Hi Emily, your expense report for $312.64 has been approved by management and submitted to payroll.",Expense Report Approved: $312.64,finance@company.com,0
"FINAL NOTICE: Your LinkedIn subscription payment of $4,133.00 was declined. Update your credit card details immediately at http://linkd1n-billing-update.com to avoid service interruption.",Payment Failure - Action Required,support@linkd1n-billing-update.com,1
Your Apple ID has been suspended due to billing information mismatch. Click here to reactivate your account: http://appleid-apple-verify.com,Apple ID Suspended,support@appleid-apple-verify.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
"Hello Robert, I need you to purchase 3 Apple Gift Cards ($1,999.00 each) for our client appreciation event today. Send the claim codes directly to this email.",Urgent Task for Client Event,executive-board-office@mail-secure-corp.com,1
URGENT: Your Microsoft 365 password expires in 30 hours. Keep your current password by verifying your credentials at http://micros0ft-office365-verify.com/login,Security Alert: Password Expiring,admin@micros0ft-office365-verify.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
"Urgent invoice payment overdue! Invoice #INV-37 for $3,215.00 is overdue by 14 days. Pay online now at http://quickbooks-online-pay.com to avoid legal penalties.",Overdue Invoice #INV-37,billing@quickbooks-online-pay.com,1
"Dear customer, your Apple account has been temporarily restricted due to unauthorized login attempts from IP 157.147.235.151. Please verify your identity immediately at http://app1e-security-check.com/login to prevent permanent account termination.",Action Required: Account Suspended,security@app1e-security-check.com,1
Congratulations! Your email address was selected as the winner of the 2026 International Apple iPhone Giveaway. Claim your prize now at http://apple-winner-claim2026.com,You Won an iPhone 15 Pro!,prize@apple-winner-claim2026.com,1
Your GitHub security advisory alert: A high severity vulnerability was found in repository dependency lodash. View details at https://github.com/security.,Security Advisory Alert,notifications@github.com,0
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
Your order #216-13396-33 has shipped via FedEx. Track your package status online at https://www.fedex.com/tracking?id=216-13396-33.,Your Order Has Shipped,shipping@amazon.com,0
"Hi Olivia, attached is the updated project roadmap for Q4. Please review before our sync meeting tomorrow at 11 PM.",Q4 Project Roadmap Review,olivia.jones@company.com,0
"IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $3,489.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com",IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
Your weekly digest from LinkedIn: James and 855 others viewed your profile this week.,LinkedIn Weekly Digest,newsletters@linkedin.com,0
"Security notice: Your Google Account was successfully accessed from a new device (iPhone 14 Pro). If this was you, no action is needed.",Security Alert: New Sign-in,no-reply@accounts.google.com,0
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
"Hi David, thanks for submitting the pull request for feature #545. I left a few minor comments on GitHub: https://github.com/company/repo/pull/545.",Pull Request Review #545,dev-lead@company.com,0
Thank you for your payment of $238.69 for your Microsoft 365 Subscription. Invoice #793-78241-89.,Microsoft 365 Payment Confirmation,no-reply@microsoft.com,0
"Hi Emma, attached is the updated project roadmap for Q4. Please review before our sync meeting tomorrow at 10 PM.",Q4 Project Roadmap Review,emma.rodriguez@company.com,0
"Dear customer, your Google account has been temporarily restricted due to unauthorized login attempts from IP 25.234.169.25. Please verify your identity immediately at http://g00gle-security-check.com/login to prevent permanent account termination.",Action Required: Account Suspended,security@g00gle-security-check.com,1
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $3,005.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
"Hey team, just a reminder that our weekly Finance standup is scheduled for today at 2 PM on Zoom: https://zoom.us/j/2685494991.",Weekly Finance Standup,manager.finance@company.com,0
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $3,415.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $838.00 to our new supplier. Reply with confirmation once sent.,Confidential Request,ceo@company-exec-mail.com,1
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
Your Apple Store order #354-11787-14 is ready for pickup at Apple Store Beijing.,Apple Store Pickup Ready #354-11787-14,no-reply@apple.com,0
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
"Hi Team, please welcome our new Senior Developer, David Miller, who joins us today!",Welcome New Team Member,hr@company.com,0
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"Hi All, the quarterly town hall meeting recording and presentation slides have been uploaded to SharePoint.",Town Hall Recording & Slides,internal-comms@company.com,0
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
"IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $3,673.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com",IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
ALERT: Unauthorized device logged into your Bank of America account. Lock your account immediately at http://bankofamer1ca-security.com,Bank of America Alert,alert@bankofamer1ca-security.com,1
"Hi David, attached is the updated project roadmap for Q2. Please review before our sync meeting tomorrow at 3 PM.",Q2 Project Roadmap Review,david.davis@company.com,0
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $4,410.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
"FINAL NOTICE: Your Amazon subscription payment of $2,277.00 was declined. Update your credit card details immediately at http://amaz0n-billing-update.com to avoid service interruption.",Payment Failure - Action Required,support@amaz0n-billing-update.com,1
Your Apple ID has been suspended due to billing information mismatch. Click here to reactivate your account: http://appleid-apple-verify.com,Apple ID Suspended,support@appleid-apple-verify.com,1
Please join us for a lunch & learn presentation on CI/CD Pipeline Security this Thursday at 12 PM in Conference Room B.,Lunch & Learn: CI/CD Pipeline Security,events@company.com,0
ALERT: Unauthorized device logged into your Bank of America account. Lock your account immediately at http://bankofamer1ca-security.com,Bank of America Alert,alert@bankofamer1ca-security.com,1
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
"Hi Robert, your expense report for $680.12 has been approved by management and submitted to payroll.",Expense Report Approved: $680.12,finance@company.com,0
ATTENTION: Your Chase Online Banking access has been locked due to suspicious activity. Verify your debit card number and PIN immediately at http://chase-bank-verify.com/auth,Important Security Notice,security@chase-bank-verify.com,1
IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $632.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com,IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
Congratulations! Your email address was selected as the winner of the 2026 International Apple iPhone Giveaway. Claim your prize now at http://apple-winner-claim2026.com,You Won an iPhone 15 Pro!,prize@apple-winner-claim2026.com,1
"Hi Jessica, your expense report for $703.46 has been approved by management and submitted to payroll.",Expense Report Approved: $703.46,finance@company.com,0
"Hi team, please remember to submit your weekly timesheets before 5 PM today.",Timesheet Reminder,payroll@company.com,0
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"Security notice: Your Google Account was successfully accessed from a new device (MacBook Air). If this was you, no action is needed.",Security Alert: New Sign-in,no-reply@accounts.google.com,0
"Hi Robert, thanks for submitting the pull request for feature #825. I left a few minor comments on GitHub: https://github.com/company/repo/pull/825.",Pull Request Review #825,dev-lead@company.com,0
ALERT: Unauthorized device logged into your Bank of America account. Lock your account immediately at http://bankofamer1ca-security.com,Bank of America Alert,alert@bankofamer1ca-security.com,1
URGENT: Your Microsoft 365 password expires in 8 hours. Keep your current password by verifying your credentials at http://micros0ft-office365-verify.com/login,Security Alert: Password Expiring,admin@micros0ft-office365-verify.com,1
URGENT: Your Microsoft 365 password expires in 32 hours. Keep your current password by verifying your credentials at http://micros0ft-office365-verify.com/login,Security Alert: Password Expiring,admin@micros0ft-office365-verify.com,1
Your order #890-86271-52 has shipped via FedEx. Track your package status online at https://www.fedex.com/tracking?id=890-86271-52.,Your Order Has Shipped,shipping@amazon.com,0
Your Spotify Premium receipt for this month ($441.64) has been processed. Thank you for listening!,Your Spotify Receipt,no-reply@spotify.com,0
"ACCOUNT SECURITY NOTICE: Someone tried to change your Instagram password. If this was not you, confirm your account details at http://instagram-verify-center.com",Password Reset Request,no-reply@instagram-verify-center.com,1
"Hey team, just a reminder that our weekly Engineering standup is scheduled for today at 8 PM on Zoom: https://zoom.us/j/2684881035.",Weekly Engineering Standup,manager.engineering@company.com,0
"Hello Emma, I need you to purchase 35 Apple Gift Cards ($838.00 each) for our client appreciation event today. Send the claim codes directly to this email.",Urgent Task for Client Event,executive-board-office@mail-secure-corp.com,1
"Hi James, thanks for submitting the pull request for feature #284. I left a few minor comments on GitHub: https://github.com/company/repo/pull/284.",Pull Request Review #284,dev-lead@company.com,0
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
"Hi Daniel, your expense report for $579.28 has been approved by management and submitted to payroll.",Expense Report Approved: $579.28,finance@company.com,0
Payroll Direct Deposit Change: Please update my bank account routing details for this week's paycheck immediately. Click here: http://payroll-portal-hr-update.com,Urgent Direct Deposit Update,employee-payroll-change@company-portal-hr.com,1
Your Slack verification code is 471-586. Enter this code on the Slack login page to sign in.,Slack Verification Code,no-reply@slack.com,0
URGENT: Your Microsoft 365 password expires in 12 hours. Keep your current password by verifying your credentials at http://micros0ft-office365-verify.com/login,Security Alert: Password Expiring,admin@micros0ft-office365-verify.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
